id,name,descriptions
320433,"Pro Nature Kala Channa, 500 g","It is a rich source of vitamins like B6, C, folate,
 niacin, thiamin, riboflavin and minerals including manganese, 
phosphorus, iron and copper. The incredible amount of nutrients
 in Kala Chana improves immunity,
 builds muscles , controls diabetes and promotes healthyhair, 
skin and nail "
320440,"Pro Nature 100% Organic Moong Green Split, 500 g","An excellant source of Vitamin A, B, C and E and also
  many other minerals including iron, calcium, and potassium.
 Channa Dal is a protein rich low fat food which is high in fibre
"
320442,"Pro Nature 100% Organic Moong Green Whole, 500 g","It is Packed With Healthy Nutrients. The Antioxidants present
 Reduce the severity of Diseases and  Prevents Heat Stroke. 
The good Cholesterol present Reduces the risk of Heart Disease."
320444,"Pro Nature Organic Moong Yellow, 500 g","Moong dal is rich in nutrients and antioxidants, 
and  provide many health  benefits -
 shields against heat stroke,promotes
  digestion,  weight loss and reduces bad
 cholesterol, blood pressure and blood sugar levels. "
320448,"Pro Nature 100% Organic Kabuli Channa, 500 g","It helps to Control Blood Sugar Levels. Aids weight loss
 promotes digestion,helps to maintain healthy Heart 
 Prevent  Cancer and helps to maintain youthful appearance."
320449,"Pro Nature Organic Tur Dal, 500 g","It  is an excellant source of protein, 
carbohydrates and fibre. Consuming this pulse daily will 
take care of everyday requirement of iron and calcium.
 Apart from these benefits, tur dal is a rich source of 
folic acids vital  for fetal growth and  helps to
prevent the birth defects of the new-born.
"
320450,"Pro Nature 100% Organic Urad White Split, 500 g","Urad dal is an excellant source of soluble and insoluble
 fiber,  which promotes digestion.
It is  wealthy  in proteins, carbohydrates, vitamins and
 minerals.It maintains healthy heart
 and gives energy.It is ideal for diabetic patients."
320451,"Pro Nature 100 % Organic Urad White Whole, 500g","Whole Urad dal is an excellant source of soluble and insoluble
 fiber,  which promotes digestion.
It is  wealthy  in proteins, carbohydrates, vitamins and
 minerals.It maintains healthy heart
 and gives energy.It is ideal for diabetic patients."
320452,"Pro Nature 100 % Organic Masoor Dal Split, 500 g","It keeps your Blood Sugar Levels in check.
 It is  good source of nutrients for the diabetic patients
 as the glycemic index is low.It promotes healthy skin 
and maintains healthy bone.It aids in weight loss and maintains
healthy heart"
320458,"Pro Nature Organic Tur Dal, 1 kg","It  is an excellant source of protein, 
carbohydrates and fibre. Consuming this pulse daily will 
take care of everyday requirement of iron and calcium.
 Apart from these benefits, tur dal is a rich source of 
folic acids vital  for fetal growth and  helps to
prevent the birth defects of the new-born."
320459,"Pro Nature 100% Organic Daliya, Broken Wheat, 500gm","Consumption of Daliya prevents constipation.
 It  is an excellent source of fibre and 
and aids digestion.Promotes muscle gain and has anti 
inflamatory properties.It promotes healthy weight management"
333527,"Pro Nature Organic Raw Peanuts, 500 g","Peanuts are an excellent source of good 
fats, protein, and fiber. They are also rich in 
potassium, phosphorous, magnesium, and B vitamins.
 Although high in calories, 
peanuts are nutritious and low in carbohydrates."
336322,24 Mantra Organic Brown Chana Whole 1 kg,"It is a rich source of vitamins like B6, C, folate,
 niacin, thiamin, riboflavin and minerals including manganese, 
phosphorus, iron and copper. The incredible amount of nutrients
 in brown Whole Chana improves immunity,
 builds muscles , controls diabetes and promotes healthyhair, 
skin and nail "
336324,24 Mantra Organic Kabuli Chana 1 kg,Kabuli Chana  is Good for the Heart.It promotes immunity and strong bones and teeth
337892,"24 Mantra Organic Chana Dal, 1kg","Channa Dal also known as chickpeas is Good for the Heart.
 
It Builds Strong Muscles and improves
 Immunity thereby Preventing Disease . 
It promotes healthy  Bones and Teeth keeps the
 Blood Sugar under check and helps in Weight Loss. 
It also Has Anti-Inflammatory Properties."
339011,"24 Mantra Organic Ancient Grains - Foxtail Millet, 500 g Carton","Foxtail Millet is a good source of
Vitamin B12 which promotes a healthy heart, proper 
functioning of the nervous system, and healthy 
skin and hair . It is recommended to include 
foxtail millet  in diet for  Type-2 diabetes 
patients"
339013,"24 Mantra Organic Ancient Grains - Little Millet, 500 g Carton","Little millet is a good source of magnesium
 which promotes heart health.The presence of Vitamin B3 (niacin) 
in little millet  lowers cholesterol. 
Little millet is incredible source of phosphorus which 
aids in  fat metabolism, body tissue repair and boosts energy"
380148,"Pro Nature Organic 100% Organic Besan, 500 g",Promotes a healthy heart. Very good for skin cleansing. Helps in skin tightening and works well on tanned skin. A must for yummy pakoras too
380150,"Pro Nature 100% Organic Panchratna Dal, 500 g","This is  a protein rich and high fiber combination
of the five lentils.This is a powerhouse of high protein wonder.
It promotes weight loss and helps in healthy weight management"
380152,"Pro Nature 100% Organic Roasted Channa Dal, 500 g","It Builds Strong Muscles and improves
 Immunity thereby Preventing Disease . 
It promotes healthy  Bones and Teeth keeps the
 Blood Sugar under check and helps in Weight Loss. 
It also Has Anti-Inflammatory Properties."
384246,"24 Mantra Pancharatna Dal, 500 g","This is  a protein rich and high fiber combination
of the five lentils.This is a powerhouse of high protein wonder.
It promotes weight loss and helps in healthy weight management"
384247,24 Mantra Organic Masoor Whole Dal 500 g,"It keeps your Blood Sugar Levels in check.
 It is  good source of nutrients for the diabetic patients
 as the glycemic index is low.It promotes healthy skin 
and maintains healthy bone.It aids in weight loss and maintains
healthy heart"
384276,"24 Mantra Organic Urad Dal White Whole, 500 g","Urad dal is an excellant source of soluble and insoluble
 fiber,  which promotes digestion.
It is  wealthy  in proteins, carbohydrates, vitamins and
 minerals.It maintains healthy heart
 and gives energy.It is ideal for diabetic patients."
385138,Fine Life Water Melon Seeds / Magaz 200 g,"Watermelon seeds are a excellant of 
nutrients like folate, iron, zinc, copper, magnesium,
 potassium. These seeds have anti bacterial properties
 They are very nutritious and boosts  body mebolism
 because of the presence of amino acids, proteins and vitamin B 
complex. "
388084,Tata Sampann Urad Dal Whole 1 kg,"Urad dal is an excellant source of soluble and insoluble  fiber,  which promotes digestion.
It is  wealthy  in proteins, carbohydrates, vitamins and  minerals.It maintains healthy heart
 and gives energy.It is ideal for diabetic patients."
388085,Tata Sampann Urad Dal 1 kg,"Urad dal is an excellant source of soluble and insoluble  fiber,  which promotes digestion.
It is  wealthy  in proteins, carbohydrates, vitamins and  minerals.It maintains healthy heart
 and gives energy.It is ideal for diabetic patients."
388089,"Tata Sampann Kabuli, 500 g","It helps to Control Blood Sugar Levels. Aids weight loss
 promotes digestion,helps to maintain healthy Heart 
 Prevent  Cancer and helps to maintain youthful appearance."
388090,"Tata Sampann Masoor Dal, Whole 500 g","It keeps your Blood Sugar Levels in check.
 It is  good source of nutrients for the diabetic patients
 as the glycemic index is low.It promotes healthy skin 
and maintains healthy bone.It aids in weight loss and maintains
healthy heart"
388091,Tata Sampann Urad Kali 500 g,"It is an excellent source of fibre which is good
 for our digestive system.The rich
 source of calcium, iron, vitamin B and 
other minerals present promote bone health. "
388093,Tata Sampann Urad Dal 500 g,"Urad dal is an excellant source of soluble and insoluble
 fiber,  which promotes digestion.
It is  wealthy  in proteins, carbohydrates, vitamins and
 minerals.It maintains healthy heart
 and gives energy.It is ideal for diabetic patients."
388100,"Tata Sampann Chana Dal, 500 g","Channa Dal is  Good for the Heart. 
It Builds Strong Muscles,
improves Body Immunity thereby helps to
Prevent Disease 
It promotes healthy  Bones and Teeth . 
Lowers Blood Sugar and helps  in Weight Loss. 
It also Has Anti-Inflammatory Properties."
388101,Tata Sampann Moong Dal 500 g,"Moong Dal is an excellant source of Vitamin A, B, C and E and also   many other minerals including iron, calcium, and potassium. It helps to reduce Weight as it is  considered heart friendly,
anti fungal anti bacterial and anti cancer.It is a protein rich  low-fat food which contains plenty of  fibre."
388102,"Tata Sampann Green Moong, Whole, 500 g",It is Packed With Healthy Nutrients. The Antioxidants present  Reduce the severity of Diseases and  Prevents Heat Stroke. The good Cholesterol present Reduces the risk of Heart Disease.
388103,Tata Sampann Moong Dal Chilka 500 g,"The rich source of Folate in 
Mung Beans promotes Healthy Pregnancy.Folate is very important
 for the overall growth and development of your the foetus.
  200 gms cooked Mung Dal Chilka provides 80% of the required dietary intake(RDI)
 of folate ."
388104,"Tata Sampann Masoor Dal, 500 g","It keeps your Blood Sugar Levels in check.
 It is  good source of nutrients for the diabetic patients
 as the glycemic index is low.It promotes healthy skin 
and maintains healthy bone.It aids in weight loss and maintains
healthy heart"
388119,"Tata Sampann Masoor Dal, Whole, 1kg","It keeps your Blood Sugar Levels in check.
 It is  good source of nutrients for the diabetic patients
 as the glycemic index is low.It promotes healthy skin 
and maintains healthy bone.It aids in weight loss and maintains
healthy heart"
388120,"Tata Sampann Chana Dal, 1kg","Channa Dal also known as chickpeas is Good for the Heart.
 
It Builds Strong Muscles and improves
 Immunity thereby Preventing Disease . 
It promotes healthy  Bones and Teeth keeps the
 Blood Sugar under check and helps in Weight Loss. 
It also Has Anti-Inflammatory Properties.

"
388121,Tata Sampann Moong Dal 1 kg,It is Packed With Healthy Nutrients. The Antioxidants present Reduce the severity of Diseases and Prevents Heat Stroke. The good Cholesterol present Reduces the risk of Heart Disease.
388122,Tata Sampann Toor Dal 1 kg,"It  is an excellant source of protein, 
carbohydrates and fibre. Consuming this pulse daily will 
take care of everyday requirement of iron and calcium.
 Apart from these benefits, tur dal is a rich source of 
folic acids vital  for fetal growth and  helps to
prevent the birth defects of the new-born."
388138,Tata Sampann Rajma 500 g,"Rajma is incredible source of  Vitamin B9 
and should be included in the diet of pregnant women
 It is also a rich source  of phosphorus, calcium and 
magnesium which promoteshealthy  hair,skin and bone
"
392739,Aro Green Moong Dal Whole 1 kg,"Green Moong Dal Whole is Packed With Healthy Nutrients. The Antioxidants present
reduces the severity of Diseases and  Prevents Heat Stroke. The good Cholesterol present Reduces the risk of Heart Disease."
392744,Aro Small Brown Chana Dal 5 kg,"Brown Chana is a rich source of vitamins like B6, C, folate,
 niacin, thiamin, riboflavin and several minerals like manganese, 
phosphorus, iron and copper. The incredible amount of nutrients
 in Brown Chana improves immunity, builds muscles , controls diabetes and promotes healthyhair, 
skin and nail ."
392747,Kabuli Chana 500 g,"Kabuli Chana helps to Control Blood Sugar Levels. Aids weight loss
 promotes digestion,helps to maintain healthy Heart 
 Prevent  Cancer and helps to maintain youthful appearance."
392748,Fried Gram dal 1 kg,"Fried Gram Dal keeps the blood sugar levels and cholosterol
 under control.It also promotes bone health and brings down
 inflammation.Fried gram dal is good to maintain stable blood
 pressure and healthy heart.It promotes immunity and prevents
 cancer"
392749,Moong Dal Regular 5 kg,"Moong Dal is an excellant source of Vitamin A, B, C and E and also
  many other minerals including iron, calcium, and potassium. 
 It helps to reduce Weight as it is  considered heart friendly,
anti fungal anti bacterial and anti cancer.It is a protein rich
 low-fat food which contains plenty of fibre.
"
392750,Kabuli Chana 1 kg,"Kabuli Chana helps to Control Blood Sugar Levels. Aids weight loss
 promotes digestion,helps to maintain healthy Heart 
 Prevent  Cancer and helps to maintain youthful appearance."
392751,Chana Brown Small (500 G),"Chana Brown  small is a rich source of vitamins like B6, C, folate,
 niacin, thiamin, riboflavin and several minerals like manganese, 
phosphorus, iron and copper. The incredible amount of nutrients
 in Brown Chana improves immunity, builds muscles , controls diabetes and promotes healthyhair, 
skin and nail ."
392752,Aro Urad Dal Whole 500 g,"Urad dal whole  is an excellant source of soluble and insoluble
 fiber,  which promotes digestion.It is  wealthy  in proteins, carbohydrates, vitamins and
 minerals.It maintains healthy heart and gives energy.It is 
ideal for diabetic patients."
392754,Patka Toor Dal 10 kg,"Patka Toor Dal  is an excellant source of protein, 
carbohydrates and fibre. Consuming this pulse daily will 
take care of everyday requirement of iron and calcium.
 Apart from these benefits, tur dal is a rich source of 
folic acids vital  for fetal growth and  helps to
prevent the birth defects of the new-born."
392755,Brown Chana Dal Small(1 kg),"Brown Chana dal small  is a rich source of vitamins like B6, C, folate,
 niacin, thiamin, riboflavin and several minerals like manganese, 
phosphorus, iron and copper. The incredible amount of nutrients
 in Brown Chana  dal improves immunity, builds muscles , controls diabetes and promotes healthyhair, 
skin and nail ."
392756,Aro Fried Gram 500 g,"Fried Gram Dal keeps the blood sugar levels and cholosterol
 under control.It also promotes bone health and brings down
 inflammation.Fried gram dal is good to maintain stable blood
 pressure and healthy heart.It promotes immunity and prevents
 cancer"
392757,Urad Dal 1 kg,"Urad dal is an excellant source of soluble and insoluble
 fiber,  which promotes digestion.It is  wealthy  in proteins, carbohydrates, vitamins and
 minerals.It maintains healthy heart and gives energy.It is 
ideal for diabetic patients."
392758,Chana Dal 500 Gm,"Chana Dal builds Strong Muscles and improves 
 immunity thereby Preventing Disease . 
It promotes healthy  Bones and Teeth keeps the
 Blood Sugar under check and helps in Weight Loss. 
It also Has Anti-Inflammatory Properties."
392759,Horse Gram 500 g,"Horse Gram is used in Traditional Medicine. It
improves the skin texture,is effective in checking blood sugar,
helps maintain healthy Weight ,effective in increasing fertility
among men,excellent for healthy liver and cures kidney stones."
392762,Green Moong Split 1 kg,"Moong Dal Split or Yellow gram is a rich in  protein and dietary fibre. It is low in 
fat and a good source of  B complex vitamins, calcium and potassium. 
Unlike other pulses it does not cause heaviness and flatulence. "
392763,Aro Green Moong Dal Whole 500 g,"Green Moong Dal is an excellant source of Vitamin A, B, C and E and also
  many other minerals including iron, calcium, and potassium. 
 It helps to reduce Weight as it is  considered heart friendly,
anti fungal anti bacterial and anti cancer.It is a protein rich
 low-fat food which contains plenty of fibre."
392764,Chana Dal 5 kg,"Chana Dal builds Strong Muscles and improves 
 immunity thereby Preventing Disease . 
It promotes healthy  Bones and Teeth keeps the
 Blood Sugar under check and helps in Weight Loss. 
It also Has Anti-Inflammatory Properties.
"
392765,Horse Gram 1 kg,"Horse Gram is used in Traditional Medicine. It 
improves the skin texture,is effective in checking blood sugar,
helps maintain healthy Weight ,effective in increasing fertility 
among men,excellent for healthy liver and cures kidney stones."
392767,Toor Dal 5 kg,"Toor Dal is an excellant source of protein, 
carbohydrates and fibre. Consuming this pulse daily will 
take care of everyday requirement of iron and calcium.
 Apart from these benefits, tur dal is a rich source of 
folic acids vital  for fetal growth and  helps to
prevent the birth defects of the new-born."
392768,Aro Moong Dal Split With Skin 1 kg,"The rich source of Folate in 
Moong Dal Split promotes Healthy Pregnancy.Folate is very important
 for the overall growth and development of your the foetus.
  200 gms cooked Moong Dal Split provides 80% of the required dietary intake(RDI)
 of folate ."
392771,Aro Red Rajma 1 kg,"Rajma is an incredible source of  Vitamin B9 
and should be included in the diet of pregnant women
 It is also a rich source  of phosphorus, calcium and 
magnesium which promoteshealthy  hair,skin and bone"
392772,Kabuli Chana 10 kg,
163575,"Lion Deseeded Dates - 100% Natural, 200 g Pouch","Dates are a really affordable snack that is packed with
  nutrition and energy in every bite.It is ideal for
  individuals of all ages."
163578,Lion Seeded Dates 500 g Refill (Buy 1 get 1 Free),"Dates is a perfect and healthy snack that nourishes your body.
 Moreover it is a healthy choice of snack that will keep your 
 tummy satisfied."
163582,"Lion Dates Arabian Deseeded, 500 g","Arabian Dates are very Nutritious and a good source of
 fibre.It is rich in antioxidants. It keeps your brain healthy
 and is a natural sweetener"
163584,Lion Desert King Seeded 500G Jar,"Dates has some amazing health benefits-improves digestive health,
 regulates bowel movements and prevents constipation,
 excellent source of iron and many other vitamins
 It is a perfect and healthy snack that nourishes your body."
325222,Lion Delicacy Dates 500 g,"Dates are very nutritious and a good source of
 fiber. It is rich in antioxidants. It keeps your brain healthy
 and is a natural sweetener.It is packed with
  nutrition and energy in every bite and is ideal for
  individuals of all ages."
380151,Pro Nature Organic Raw Peanuts (1 kg),"Peanuts are rich source of good fats
  protein, and fiber. They are an incredible source of
  potassium, phosphorous, magnesium, and B vitamins.
  Though peanuts are considerably high
  in calories, they are nutritious and have less 
 carbohydrates."
382050,Cashew 500 g,"Cashews are an excellent source of protein for vegetarians.
  that is low in sugar and rich in fiber.They are an excellent
  source of copper, magnesium, and manganese that improves 
 immunity,boosts energy, promotes heart,brain and bone health ."
384549,Melon Seeds 200g,"Watermelon seeds are a excellent of 
 nutrients like folate, iron, zinc, copper, magnesium,
  potassium. These seeds have anti bacterial properties
  They are very nutritious and boosts body metabolism
  because of the presence of amino acids, proteins and vitamin B 
 complex."
387480,Dry Dates 500G,"Dry Dates are a perfect and healthy snack that nourishes your body.It has some amazing health benefits-improves digestive health,
 regulates bowel movements and prevents constipation,
 excellent source of iron and many other vitamins."
388493,Regency Apricot - Turkel 200G,
388505,"Regency Almonds American, 250 g",Almonds are among the healthiest snack option as they contain fibre and healthy fats.almonds ensures that you get your daily dose of antioxidants to keep your body healthy.
388507,"Regency Pitted Prunes, Dried Plum, 240g","Prunes and dry plums are high in fiber and thus helps to maintain healthy digestive system. They are rich in iron, potassium and vitamins.It strengthens bones and builds muscles. Including prunes and dry plums in the diet lowers bad cholesterol and stabilizes blood pressure levels."
388509,Regency Cranberry Sliced 200G,"Cranberry is effective in maintaining youthful appearance.It promotes heart health and supports healthy
  digestive system.Regular intake of cranberry is beneficial to maintain post-menopausal health.It effectively treats or prevents infections in the urinary tract."
390131,Date Crown Buman Dates 500 G (Pack of 2),"Dates are soft and sweet.It is perfect and healthy snack that nourishes your body.
 Moreover it is a healthy choice of snack that will keep your 
 tummy satisfied."
